"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C3,C4,C5,C7","5","C","","","","",""
"C2,C6","2","C_Polarized_US","","","","",""
"D1","1","D_Schottky","","","","",""
"D2,D3,D4","3","LED","","","","",""
"F1","1","Fuse","","","","",""
"Input?,Output?","2","Screw_Terminal_01x02","","","","",""
"L1","1","L_Ferrite","","","","",""
"R1,R2,R3,R4,R5,R6,R7,R8","8","R","","","","",""
"RV1,RV2","2","R_Potentiometer","","","","",""
"U1","1","L78L05_SO8","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.st.com/content/ccc/resource/technical/document/datasheet/15/55/e5/aa/23/5b/43/fd/CD00000446.pdf/files/CD00000446.pdf/jcr:content/translations/en.CD00000446.pdf"
"U2","1","XL4015","","","","Package_TO_SOT_SMD:TO-263-5_TabPin3","http://www.xlsemi.net/datasheet/XL4015%20datasheet-English.pdf"
"U3","1","TL431DBZ","","","","Package_TO_SOT_SMD:SOT-23","http://www.ti.com/lit/ds/symlink/tl431.pdf"
"U4,U5","2","LM358","","","","","http://www.ti.com/lit/ds/symlink/lm2904-n.pdf"
